run_number,run_date,env,model,gamma,theta,epsilon,alpha,number_iteration,max_step,actual_run,time,score
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,sarsa,0.99,None,0.1,0.1,5,100000,3,219,7
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv0,sarsa,0.99,None,0.1,0.1,5,100000,4,221,6
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,0,759,4
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,1,711,5
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,2,719,3
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,3,814,9
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_exploring_starts,0.99,None,None,None,5,100000,4,1242,2
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,0,5635,4
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,1,2653,8
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,2,2369,11
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,3,2221,5
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_fv_on_policy,0.99,0.1,None,None,5,100000,4,2166,14
9f405439-86cf-40c8-9f4e-7a2a80ed6394,2024-07-24_19-58-45,SecretEnv1,monte_carlo_off_policy,0.99,None,0.1,None,5,100000,0,974,9
